id,comicsId
6606,19815
1168,68960
1168,28003
1168,25797
1168,62853
1168,60438
1168,66207
1168,21816
1168,66777
1168,24297
1168,40080
1168,28021
1168,60444
1168,67357
1168,64430
4592,14224
4592,14335
4592,14336
4592,14337
3052,17787
3052,9547
6535,19764
12958,58635
3188,11950
12660,29703
12660,54498
12660,13913
12660,13914
12660,13916
12660,13917
12660,20913
6613,7648
6613,19817
6919,20231
8098,56424
8098,56430
8098,56436
8098,56438
8098,56439
8098,56440
8098,56441
8098,56442
8098,56443
8098,61342
8098,61345
8098,61346
8098,61347
8098,61348
8098,61349
8098,51410
8098,51411
8098,51934
8098,54859
8098,55683
9716,27398
9716,27465
3178,11943
12701,29754
3095,9650
3095,21594
7646,17592
7646,21332
7646,21510
7646,21713
7646,22478
7646,22879
7646,23581
7646,23582
7596,22191
3634,12313
3634,23516
3634,21430
5979,18208
5138,66089
5138,21062
5138,50203
5138,16511
5138,39649
5138,17415
6642,19833
13123,63276
12962,58636
5977,22815
5977,20538
5977,22826
5977,20549
5977,22833
5977,20556
5977,22835
5977,20559
5977,20560
5977,20561
5977,20562
5977,20539
5977,22817
5977,20541
5977,20542
5977,22819
5977,306
5977,372
5977,308
5977,22827
6319,18918
4748,14857
4748,6181
4748,1012
807,6826
807,6828
807,6829
807,6830
807,6831
807,6832
807,6834
807,6835
807,6836
807,6841
807,6842
807,6844
807,6845
807,6846
807,6848
807,6855
807,17731
807,17732
807,17733
807,17734
2585,11579
2585,11581
2585,11585
10095,36527
5898,18101
5898,4090
6827,20126
6408,19539
5789,17759
5789,17760
5789,5705
12598,53996
4077,7469
12864,66751
12864,57958
12864,69496
6564,19776
1676,33599
5962,6836
5962,14699
5962,14700
5962,18176
12830,57927
12830,57932
12830,58522
12830,58523
12830,58524
12830,58525
12830,58526
12830,60708
12830,60266
12830,60267
8571,23659
8571,1880
8571,2083
8571,20686
8571,39328
8571,39329
8571,41351
8571,41346
8571,23618
8571,23773
8571,3068
8571,3070
8571,3071
8571,3072
8571,3380
8571,24030
8571,24233
8571,24837
8571,24838
8571,32692
5721,20811
7752,23361
10096,36527
6147,1551
6147,1552
6147,1691
6147,19467
6147,19468
6147,19469
6147,3169
6147,2535
6147,2536
6147,1571
6147,2063
6147,17474
6147,18676
6147,1074
6147,1103
6147,1078
6147,18412
6147,22058
6147,23520
6147,23521
5731,17604
5731,20847
5731,20981
5731,21189
5731,22397
1076,5561
1076,4456
1076,53992
12640,54285
12640,54330
12640,54331
7204,20868
7204,21003
7204,21214
7204,21357
7204,21539
7204,21737
7204,21970
7204,22294
7204,22293
7204,23604
7927,23645
7927,23803
7927,23996
7927,24201
7927,24492
7927,24493
4736,16260
4736,1055
4736,15777
4736,15778
4736,15779
4736,5132
4736,14868
4736,14879
4736,14890
4736,14901
4736,14912
4736,14838
4736,6181
4736,1012
4736,2979
4736,1014
8724,6994
4472,13906
4196,12576
4196,12577
4196,1040
8764,51290
8764,28769
8764,40498
8764,36716
8764,39487
8764,36384
8764,34954
8764,36200
8764,36382
8764,34939
8764,36198
8764,36597
8764,27643
8764,36053
8764,38116
8764,46335
8764,43512
8764,47429
8764,43516
8764,47682
6915,20227
6915,20232
5388,16890
1406,40277
1406,28119
1406,24586
1406,36512
1406,46007
1406,39476
1406,48286
1406,16534
1406,17258
1406,17393
1406,17635
1406,21008
1406,47734
1406,31527
1406,37295
1406,37296
1406,37297
1406,38060
1406,37298
1406,39278
2522,8368
2522,8517
10732,40804
10732,30058
10732,30059
10732,30389
10732,30259
6922,20235
6922,20236
6051,18321
2663,11762
2663,11771
2663,11772
5353,16851
3187,11948
2258,7172
2258,9565
5953,6834
5953,7277
5953,7278
5953,7279
5953,7280
5953,7287
5953,18174
5953,1780
2330,6825
2330,6826
2330,6830
2330,6831
2330,6832
2330,6833
2330,7276
2330,8356
2330,8678
2330,8679
2330,8682
2330,9574
2330,9580
2330,9581
2330,9582
2330,9584
2330,14686
2330,14688
2330,14689
2330,14690
7838,23505
7838,23506
4139,8484
4139,8495
4139,8506
4139,24957
4139,9273
4139,9274
4139,9276
4687,14673
12957,58635
4755,5451
4755,14942
4755,2592
10142,36527
10142,33413
3912,15915
3912,46458
6647,19836
1268,4427
3044,9502
3044,22174
3044,22175
6852,20152
6586,19792
3164,8735
2328,7273
2328,7278
2328,7282
2328,8337
12576,53990
4156,8506
4156,24957
4117,8462
4117,8473
4117,8484
4117,8495
4117,21082
4117,24957
7597,22192
2494,7276
2494,7277
2494,7278
2494,7280
2494,8336
2494,8338
2494,8339
2494,8341
2494,8342
2494,8343
2494,8344
2494,14330
4149,8489
2656,6817
2656,7249
2656,11737
4779,15132
4779,15133
4404,12404
4404,1033
6946,20248
5235,16671
2378,8703
7589,22188
5785,17757
5785,5705
3372,10982
3755,10054
1525,9944
1525,9948
3485,40795
3485,11988
3485,11997
3990,10903
4155,12579
4155,12580
4155,12581
4155,12582
4155,12583
4155,12584
4155,12585
4155,12587
4155,12588
4155,12589
4155,8492
4155,13338
4155,2833
2788,7640
2788,7641
2788,7642
2788,7643
2788,7645
12882,60274
12882,61830
12882,65126
12882,66844
12882,60846
12882,67582
12882,70088
12882,70089
2331,7277
2331,22178
2331,22189
13288,66468
12692,10441
12692,10442
12692,10345
12692,17942
12692,17983
3582,12185
5775,17753
4054,7443
6541,19766
3869,10148
3869,5637
11403,48431
11403,48433
11403,48443
11403,48444
11403,48445
11403,48446
11403,6833
11403,6847
11403,6850
11403,6851
11403,6852
11403,6853
11403,6854
11403,6856
11403,6857
11403,6858
11403,6859
11403,6862
11403,37772
11403,10546
11404,37773
3028,9442
3028,9513
3028,9514
3028,9515
3028,9517
3028,9518
3028,9519
3028,9520
3028,9521
3028,22426
2478,8249
4610,14279
4610,14270
6609,19815
3538,12092
2686,11816
9988,27719
9988,27720
3608,12225
3672,12579
3672,12580
3672,12581
3672,12582
3672,12583
3672,12584
3672,12585
3672,12587
3672,12588
3672,12589
3672,12590
3672,12591
3672,12592
3672,12593
3672,12594
3672,12595
3672,12596
3672,12598
3672,12599
3672,12600
6721,8508
6721,8509
6721,19915
6721,15783
6721,15769
6721,5132
4138,8482
4138,8483
4138,8485
634,1748
12826,55827
12826,55828
12826,60070
12826,71473
12826,66307
5983,18212
7830,23497
7830,23501
4754,5451
4754,14942
4754,2592
4136,8481
4136,8482
4136,14067
12401,22372
12401,39671
12401,1463
12401,877
12401,25436
12401,25440
12401,50915
12401,49807
12401,41692
12401,3898
12401,4417
12401,26048
12401,56317
12401,20695
12401,20889
12401,21020
12401,4170
12401,4428
12401,4748
12401,5045
13244,64686
13244,64687
13244,64688
13244,64689
3050,8619
3050,9542
3050,17987
3346,12162
4165,12805
4165,20459
4165,20755
4165,20760
4165,13718
4165,12102
2929,9105
3540,12093
2632,17457
2632,9295
2632,23037
2632,23032
2632,22601
2632,22606
2632,11711
2922,9096
2922,9098
2922,11636
12967,56098
12967,62237
12967,62795
2926,9102
2926,9104
2926,9105
2926,9107
2926,9109
2926,9112
2926,9113
2926,9114
2926,9115
2926,9116
2926,9117
