id,seriesId
6606,3719
1168,25021
1168,8967
1168,8031
1168,23051
1168,22319
1168,24004
1168,5398
1168,24158
1168,7494
1168,14879
1168,8985
1168,22325
1168,24345
1168,23460
4592,2262
4592,2265
3052,2029
3052,3630
6535,3718
12958,21405
3188,2089
12660,9934
12660,20214
12660,2258
12660,4020
6613,1996
6613,3719
6919,3741
8098,20682
8098,16452
8098,20448
8098,19453
8098,19608
8098,20505
8098,23871
8098,19676
9716,7455
3178,2089
12701,9706
3095,2029
3095,5211
7646,702
7596,5860
3634,2098
3634,6689
3634,5068
5979,3643
5138,23967
5138,4530
5138,18801
5138,1107
5138,14614
5138,2890
6642,3719
13123,23132
12962,21406
5977,6258
5977,690
5977,312
5977,1297
5977,22421
5977,10315
5977,8860
6319,3695
4748,466
4748,1919
4748,74
807,3618
807,3619
807,3621
807,354
807,1737
807,158
807,227
807,271
807,937
807,98
807,1992
807,14703
807,3628
807,1995
807,102
807,103
807,6258
807,1885
807,2002
807,449
2585,2083
10095,12932
5898,3635
5898,1684
6827,3740
6408,3715
5789,3621
5789,1813
12598,20119
4077,1995
12864,24150
12864,21122
12864,25418
6564,3718
1676,11313
5962,2271
5962,1987
5962,3643
12830,21111
12830,21116
12830,21366
12830,22437
12830,22189
8571,6807
8571,769
8571,3061
8571,744
8571,15370
8571,4002
8571,939
8571,1565
8571,7208
8571,9886
8571,5701
8571,8865
8571,7196
8571,9136
8571,421
8571,13440
8571,887
8571,1517
8571,4885
8571,7859
5721,3914
7752,6678
10096,12932
6147,375
6147,816
6147,3712
6147,3713
6147,3714
6147,1576
6147,940
6147,1366
6147,3306
6147,581
6147,134
6147,163
6147,138
6147,3653
6147,5761
6147,6691
5731,3176
5731,6015
1076,1789
1076,1028
1076,20119
12640,20188
12640,20196
7204,1126
7927,6792
4736,479
4736,115
4736,2311
4736,1823
4736,466
4736,1919
4736,74
4736,1162
4736,76
8724,1991
4472,2258
4196,2115
4196,100
8764,16449
8764,9414
8764,449
8764,12916
8764,14442
8764,12233
8764,12987
8764,8840
8764,8842
8764,13714
8764,16451
8764,19596
8764,17504
8764,17503
8764,17539
8764,17542
8764,18527
8764,18064
8764,17620
8764,16776
6915,3741
5388,2984
1406,14933
1406,7601
1406,13570
1406,12916
1406,17352
1406,14431
1406,1140
1406,18023
1406,18293
1406,4889
1406,10266
1406,9924
1406,10373
1406,9063
1406,9488
1406,1107
1406,2428
1406,10351
1406,9719
1406,18299
2522,2002
2522,2005
10732,744
10732,9368
10732,7707
10732,9367
6922,3741
6051,3648
2663,2083
5353,2982
3187,2089
2258,1991
2258,2029
5172,3084
5953,1991
5953,1987
5953,3642
5953,1452
2330,1991
2330,2002
2330,2011
2330,2029
2330,2271
2330,2069
2330,22888
2330,22528
2330,1987
2330,2083
2330,2262
2330,2098
2330,4919
7838,6688
4139,2005
4139,7713
4139,2021
4687,2271
12957,21405
4755,1807
4755,2281
4755,1166
10142,12932
10142,1035
3912,2444
3912,17551
6647,3719
1268,1622
3044,2029
3044,5860
6852,3740
6586,3719
3164,2013
2328,1991
2328,2002
12576,20119
4156,2005
4156,7713
4117,2005
4117,4605
4117,7713
7597,5860
2494,1991
2494,2002
2494,2265
4149,2005
2656,1991
2656,1987
2656,2083
4779,2288
4404,2111
4404,93
6946,3741
5235,2978
2378,2012
7589,5860
5785,3621
5785,1813
3372,2073
3755,2039
1525,2034
3485,15081
3485,2092
3990,2070
4155,2115
4155,2005
4155,417
4155,1580
2788,1996
12882,20606
12882,22552
12882,23691
12882,24177
12882,22459
12882,24368
12882,25573
12882,25574
2331,1991
2331,5860
13288,24079
12692,2055
12692,3633
3582,2098
5775,3621
4054,1995
6541,3718
3869,2039
3869,1697
11403,454
11403,2572
11403,2060
11403,1987
11404,2572
3028,2029
3028,6049
2478,2002
4610,465
6609,3719
3538,2092
2686,2083
9988,8852
3608,2098
3672,2115
3672,2005
3672,109
3672,2008
3672,2011
3672,465
3672,417
3672,1580
3672,2311
3672,1823
3672,474
3672,1168
3672,82
6721,2005
6721,2572
6721,2311
6721,1823
4138,2005
634,711
12826,20535
12826,20465
12826,26040
12826,20477
12826,24026
5983,3643
7830,6688
4754,2281
4754,1807
4754,1166
4136,2005
4136,2262
12401,5376
12401,14244
12401,1885
12401,1333
12401,782
12401,3762
12401,19061
12401,15549
12401,935
12401,1549
12401,7455
12401,20652
12401,2537
12401,18527
12401,2427
12401,1354
12401,946
13244,23565
13244,23562
13244,23564
13244,23563
3050,2011
3050,2029
3050,3633
3346,2095
4165,1997
4165,3745
4165,3898
4165,2258
4165,2093
2929,2021
3540,2092
2632,2024
2632,3289
2632,6453
2632,6232
2632,2083
2922,2021
2922,2083
12967,20614
12967,22860
12967,23031
2926,2021
4557,2262
12439,18688
2148,1991
2148,1996
2148,3729
5991,3644
5991,1583
3029,2029
4958,449
4958,18
7584,5860
11401,21404
11401,22896
11401,24404
11401,25678
11401,24256
11401,25671
11401,10030
11401,10031
11401,24455
11401,24135
11401,9927
11401,13768
11401,19303
11401,24470
11401,23951
11401,26670
11401,23805
11401,26963
11401,9916
11401,24019
6445,3716
2657,2083
4080,2115
4080,1995
4080,2572
