id,storiesId
6606,42310
1168,47950
1168,53831
1168,56854
1168,61249
1168,61285
1168,75266
1168,90430
1168,90431
1168,90936
1168,131345
1168,131346
1168,131357
1168,131358
1168,137973
1168,137974
1168,139846
1168,139847
1168,143541
1168,143542
1168,144709
4592,28967
4592,29224
4592,29226
4592,29228
3052,19570
3052,37790
6535,41947
12958,127857
3188,20411
12660,28287
12660,28289
12660,28294
12660,28296
12660,64551
12660,120222
6613,17795
6613,42324
6919,43346
8098,71285
8098,81864
8098,114397
8098,114398
8098,114400
8098,115445
8098,115446
8098,116667
8098,120935
8098,122410
8098,122412
8098,123703
8098,123715
8098,123728
8098,123731
8098,123733
8098,123735
8098,123737
8098,123739
8098,123741
9716,53754
9716,60236
9716,81864
3178,20372
12701,64654
12701,121457
3095,19781
3095,47595
7646,36816
7646,47113
7646,47426
7646,47734
7646,49832
7646,50805
7646,52224
7646,52226
7596,49673
3634,22378
3634,51893
3634,51895
5979,38739
5979,38740
5138,33294
5138,36515
5138,36516
5138,46048
5138,89986
5138,112444
5138,143305
6642,42458
6642,42459
6642,42460
6642,42461
13123,137401
12962,127859
5977,909
5977,911
5977,1670
5977,1813
5977,1815
5977,1817
5977,1819
5977,2286
5977,2288
5977,50143
5977,50145
5977,50146
5977,50147
5977,50151
5977,50162
5977,50166
5977,50180
5977,50182
5977,50184
5977,50186
6319,40456
4748,30353
807,1024
807,1026
807,1649
807,1947
807,1949
807,2295
807,3489
807,3491
807,3493
807,3495
807,3497
807,3499
807,3904
807,3908
807,3912
807,3914
807,3916
807,3918
807,3920
807,3922
2585,16779
2585,16785
2585,16794
10095,57998
10095,58000
10095,58002
10095,58004
10095,75301
10095,81079
5898,38452
6827,43113
6408,41439
5789,37695
5789,37696
5789,37697
5789,37698
12598,119219
4077,24374
12864,126619
12864,144658
12864,153463
3043,19480
6564,42049
1676,75455
5962,29942
5962,29945
5962,38649
5962,66281
12830,126557
12830,126567
12830,127644
12830,127646
12830,127648
12830,127650
12830,127652
12830,131011
12830,131013
12830,131886
8571,2378
8571,2386
8571,2388
8571,2390
8571,2392
8571,2394
8571,2396
8571,2398
8571,2400
8571,2776
8571,3619
8571,3621
8571,3623
8571,3625
8571,3627
8571,3641
8571,3645
8571,3702
8571,3704
8571,3706
13210,141793
5721,45076
7752,51575
10096,57998
10096,58000
10096,58002
10096,58004
10096,75301
10096,81079
6147,2788
6147,2790
6147,4164
6147,5216
6147,5218
6147,39228
6147,39229
6147,40023
6147,41292
6147,41293
6147,41294
6147,41295
6147,41305
6147,41306
6147,52122
6147,52124
6147,52126
5731,36840
5731,44644
5731,45386
5731,46809
1076,5743
1076,119211
12640,119795
12640,119796
12640,119886
12640,119888
7204,44327
7204,44685
7204,45557
7204,46862
7204,47168
7204,47485
7204,47785
7204,48344
7204,49092
7204,49094
7204,52269
7204,54152
7927,52364
7927,52819
7927,53225
7927,53631
7927,54026
7927,54028
7927,54272
4736,30297
4736,30367
4736,30384
4736,30405
4736,30419
4736,30440
4736,30441
4736,31892
4736,31907
4736,32050
4736,34046
8724,14525
4472,28274
4196,24959
4196,24960
4196,24963
8764,58815
8764,58816
8764,60556
8764,62734
8764,77202
8764,77409
8764,79791
8764,80135
8764,80139
8764,80782
8764,80783
8764,80786
8764,81218
8764,81444
8764,89595
8764,91818
8764,91819
8764,92962
8764,92963
8764,96347
6915,43337
6915,43347
5388,35406
5388,35407
1406,8316
1406,8373
1406,8374
1406,33345
1406,36168
1406,36461
1406,36901
1406,36902
1406,45601
1406,54401
1406,61477
1406,61915
1406,63522
1406,69119
1406,69121
1406,69123
1406,70650
1406,70683
1406,74362
1406,80864
2522,16324
2522,24626
10732,68943
10732,68945
10732,69345
10732,69605
10732,74808
10732,81700
10732,92433
6922,43354
6922,43356
6051,39000
2663,17198
2663,17223
2663,17225
5353,35253
3187,20399
2258,14884
2258,19607
5172,33505
5953,15112
5953,15114
5953,15116
5953,15118
5953,15133
5953,38641
5953,38642
5953,66279
2330,15111
2330,16300
2330,17352
2330,19627
2330,19639
2330,19641
2330,19643
2330,19647
2330,22146
2330,22649
2330,22650
2330,22652
2330,22657
2330,22658
2330,28567
2330,28568
2330,28959
2330,28960
2330,28962
2330,28963
7838,52146
7838,52149
4139,19090
4139,19093
4139,19099
4139,24580
4139,24602
4139,24614
4687,29852
12957,127857
4755,30460
10142,58002
10142,58004
10142,75089
10142,75301
10142,81079
3912,23706
3912,23707
3912,23708
3912,23709
3912,104502
3912,104503
6647,42485
1268,7154
3044,19484
3044,49635
3044,49637
3044,66598
6852,43166
6586,42153
3164,20244
2328,15105
2328,15115
2328,15123
2328,16257
12576,119208
4156,24614
4117,24518
4117,24554
4117,24580
4117,24602
7597,49675
7597,49676
2494,15110
2494,15112
2494,15114
2494,15118
2494,16254
2494,16260
2494,16262
2494,16266
2494,16268
2494,16270
2494,16272
